       Feature_1  Feature_2  Feature_3  Feature_4  Feature_5  Feature_6  \
0       9.000000   2.206181   0.967546   0.991364          5   0.276959   
1       8.000000  -0.771461  -0.691794  -0.124020          8  -0.525301   
2       4.000000  -0.829600   0.849521   1.147628          8   0.116856   
3       6.000000  -2.429350   1.783365   1.644329          7   1.970243   
4       5.000000   1.433687   0.345290   0.181574          7   0.296787   
5       3.000000  -1.528581   0.764325   0.804367          2   0.241741   
6       6.000000  -2.280368   1.706221   1.586844          7   2.077539   
7       1.000000   2.411637   1.023429   0.796305          9  -0.127629   
8       1.000000   1.847872  -0.098640  -0.799968          9   0.386573   
9       5.000000  -1.674334   2.949770   1.047034          7   3.443178   
10     10.000000   0.093924  -0.292291  -0.586054          5   0.004954   
11      5.000000  -0.209273   1.077089   0.885690          5   0.123235   
12      9.000000  -2.450137   0.980334   0.781432          7   0.570666   
13      1.000000  -0.492690   2.742548   0.727063          9   1.774205   
14      1.000000  -0.390273  -0.028428  -0.012026          8  -0.192444   
15      2.000000  -1.369499   2.194365   1.956300          6   1.819215   
16      1.000000   1.455368  -0.400452  -0.851306          1  -0.371982   
17      8.000000  -1.836087   2.489443   1.619212          8   0.363754   
18      4.000000  -0.462315   0.099922   0.031298         10  -0.108593   
19      6.000000  -1.691877   1.533714   1.125338          8   0.348488   
20      6.000000   1.524483   2.547712   0.839020          2  -0.002167   
21      1.000000   1.565320  -0.049261  -1.159563          9  -0.257783   
22      1.000000   0.226263   0.429890   0.122426          9  -0.332664   
23      1.000000   1.832717   1.273913   0.081455          9  -0.099421   
24      1.000000  -1.705486   2.277922   0.553133          9   0.516208   
25      1.000000  -0.754016   1.037278  -0.279628          9  -0.027841   
26      8.000000   1.724476   1.486527   1.346423          2   0.208804   
27      1.000000  -0.527785   0.839502   0.789891          5  -0.084009   
28      1.000000   1.585963   2.686962  -1.074953          9   0.518295   
29      8.000000  -1.159948   2.316822   1.490752          8   0.423795   
...          ...        ...        ...        ...        ...        ...   
39970   3.561958  -0.197670   0.383728   0.609635          1   0.093678   
39971   4.224326  -0.816115   0.814746   0.632946          4   0.417005   
39972   3.665979   0.702714   0.180675  -0.026747          4  -0.147461   
39973   4.071540  -0.416890   0.097988   0.229452          4  -0.254196   
39974   3.572918  -0.205717  -0.061537  -0.096491          4   0.103223   
39975   3.658431   0.723661   0.354564   0.529468          4  -0.018216   
39976   2.844812   0.092741   0.417523   0.541754          5   0.065006   
39977   2.357510  -0.060918  -0.111133  -0.100341          1   0.376026   
39978   3.182103  -0.989906   1.092797   0.637817          1  -0.020080   
39979   3.391356  -0.374972   0.237348   0.217582          6   0.271274   
39980   4.099898   0.089328  -0.120152  -0.127164          1  -0.042562   
39981   3.380032   0.452170   0.295861  -0.175989          4  -0.380414   
39982   3.362105   0.041882   0.778346   0.426827          7  -0.016774   
39983   4.528220  -0.166578   0.918181   0.807672          4  -0.055331   
39984   4.565075  -0.275475   0.357868  -0.262406          6  -0.162167   
39985   4.759923  -0.466854   0.172547   0.082279          1   1.110129   
39986   3.534226  -0.643123   1.080066   0.065408          4   0.368701   
39987   2.956790  -0.735518   0.961860   0.734291          6   0.616810   
39988   3.411169  -0.218574   0.242340   0.132056          4  -0.175672   
39989   3.640326  -0.562213   0.020172   0.421335          1  -0.032579   
39990   3.955247   0.983349   0.118245   0.265293          5  -0.299026   
39991   3.900068  -0.022479  -0.101549   0.295105          4   0.311143   
39992   3.735742  -0.436694   0.231230   0.048071          7  -0.163047   
39993   3.361976   0.158542   0.029457   0.515062          1   0.324325   
39994   3.507455  -0.103819   0.222562   0.474990          1   0.175381   
39995   2.900667  -0.458740   0.575600   0.618160          1   0.137926   
39996   3.360823   1.170097   0.634574   0.637597          7   0.273783   
39997   3.872401  -0.382419   0.712560   0.598347          7   0.508523   
39998   3.685594  -0.605861   0.428068   0.614175          8  -0.158876   
39999   3.269405  -0.244850   1.377943   0.707368          5   0.253786   

       Feature_7  Feature_8  Feature_9  Feature_10  ...   Feature_17  \
0          99861     0.3451  13.000000    1.000000  ...    -1.304266   
1          49229     0.2109   7.000000    1.000000  ...     0.438462   
2          52425     0.0098  12.000000    5.000000  ...    -1.167142   
3           7663     0.3650  10.000000    1.000000  ...    -1.680767   
4          73407     0.3650   9.000000    5.000000  ...    -0.480768   
5          49467     0.2986  12.000000    5.000000  ...    -0.810678   
6          43138     0.0126  10.000000    1.000000  ...    -1.625189   
7          93247     0.3318  12.000000    5.000000  ...    -1.192026   
8          26189     0.3318   7.000000    5.000000  ...    -1.042451   
9          48481     0.2138  17.000000    4.000000  ...    -1.373477   
10         18477     0.0163  12.000000    2.000000  ...    -0.238730   
11         41948     0.0163  11.000000    5.000000  ...    -0.793403   
12         19537     0.3318  11.000000    2.000000  ...    -1.422943   
13         39365     0.2064  13.000000    5.000000  ...    -1.915574   
14         21108     0.3650  12.000000    4.000000  ...    -0.558837   
15         49744     0.3318  12.000000    5.000000  ...    -1.795998   
16         38393     0.3451  10.000000    4.000000  ...    -0.054539   
17         86947     0.2119  10.000000    5.000000  ...    -1.635139   
18          6447     0.0174  10.000000    3.000000  ...    -0.576767   
19         62165     0.3484  13.000000    6.000000  ...    -1.385415   
20         94953     0.0158  14.000000    4.000000  ...    -0.909914   
21         84383     0.0107   9.000000    5.000000  ...    -0.766768   
22         15107     0.0126   7.000000    5.000000  ...    -0.855504   
23         42247     0.2109  10.000000    5.000000  ...    -0.818858   
24         93026     0.3451  14.000000    5.000000  ...    -1.195150   
25         53356     0.0174  11.000000    5.000000  ...    -0.547658   
26         34213     0.2323  14.000000    5.000000  ...    -0.920341   
27         69564     0.3418  11.000000    5.000000  ...    -0.645785   
28         99861     0.0102  13.000000    5.000000  ...    -1.236921   
29         94904     0.0174   7.000000    5.000000  ...    -1.642889   
...          ...        ...        ...         ...  ...          ...   
39970      67409     0.0105  10.275619    4.984010  ...    -0.508615   
39971      61797     0.0111   9.976153    4.000000  ...    -0.879018   
39972      71522     0.2087   9.610200    4.766008  ...    -0.013829   
39973      92862     0.0099  10.610583    4.000000  ...    -0.117412   
39974      21216     0.3451   9.980325    4.758415  ...    -0.155206   
39975      51150     0.3318  10.908638    4.770923  ...    -0.544819   
39976      54680     0.0174  11.657587    4.763927  ...    -0.345009   
39977      77954     0.3451  12.593868    4.920249  ...    -0.252051   
39978      81600     0.3650   9.993780    4.826959  ...    -0.725778   
39979       1695     0.2087   9.536143    4.686489  ...    -0.712360   
39980       2441     0.2119  10.389900    4.449199  ...    -0.298336   
39981      72396     0.3418   9.459424    5.013999  ...    -0.389841   
39982      92235     0.3484   9.705416    4.854488  ...    -0.520304   
39983      62539     0.2986   7.990639    4.791343  ...    -0.304934   
39984      56547     0.0174   9.327215    5.299667  ...    -0.307383   
39985      64625     0.2323  11.685864    5.002314  ...    -0.202968   
39986      79998     0.0163  14.003529    5.155219  ...    -0.783174   
39987      44322     0.0164  11.451567    4.834597  ...    -1.011133   
39988      38585     0.0100  10.742455    4.000000  ...     0.000213   
39989      44003     0.0174   8.008354    5.000000  ...    -0.591945   
39990        338     0.0098   8.737361    5.010250  ...     0.347228   
39991      31676     0.0142   8.978890    4.000000  ...    -0.674653   
39992      25571     0.0111   8.033762    4.837863  ...    -0.297516   
39993      14653     0.0166  11.344773    3.999124  ...    -0.633979   
39994      94022     0.0163   9.423086    4.505933  ...    -0.707244   
39995      95943     0.2087  11.015593    4.781795  ...    -0.585220   
39996      58964     0.0171  11.678765    5.003498  ...    -0.952272   
39997      11694     0.3451  11.000000    4.948062  ...    -0.839407   
39998      80139     0.3451  11.014108    3.741066  ...    -0.665046   
39999      17093     0.3451  11.704251    4.940154  ...    -0.851185   

       Feature_18  Feature_19  Feature_20  Feature_21  Feature_22  Feature_23  \
0        1.577751   -1.611225    5.000000    0.718281   -2.383161    1.274457   
